feature,importance,model
RISK_SCORE,0.0052348613,Regression
YEAR,0.0051189736,Regression
US_STATE_KY,0.0050654095,Regression
EMP_X_SURFACE,0.005064484,Regression
PRIMARY_Sand & gravel_1,0.0049907505,Regression
US_STATE_NJ,0.0049490877,Regression
US_STATE_KS,0.0049021184,Regression
US_STATE_TX,0.0048966375,Regression
PCT_HRS_OFFICE,0.004884884,Regression
PRIMARY_crushed and broken_1,0.0048827976,Regression
US_STATE_IA,0.004740202,Regression
PRIMARY_industrial_1,0.0046173465,Regression
PCT_HRS_DREDGE,0.0045576883,Regression
PCT_HRS_SURFACE,0.004555146,Regression
US_STATE_ID,0.0044935215,Regression
PRIMARY_Lime_1,0.004461599,Regression
US_STATE_VA,0.004391238,Regression
PRIMARY_common_1,0.0043591945,Regression
PRIMARY_Clay_1,0.0043524434,Regression
US_STATE_WV,0.0042154444,Regression
US_STATE_NC,0.003829528,Regression
PRIMARY_Marble_1,0.003676937,Regression
US_STATE_NV,0.0036006218,Regression
US_STATE_MN,0.0034972264,Regression
US_STATE_AL,0.0034591719,Regression
US_STATE_MO,0.0034195865,Regression
US_STATE_WI,0.0030995433,Regression
US_STATE_NY,0.003038105,Regression
US_STATE_VT,0.0029645846,Regression
PRIMARY_Bituminous_1,0.0029385847,Regression
US_STATE_ND,0.0028356765,Regression
US_STATE_MI,0.0028308665,Regression
PRIMARY_Granite_1,0.002817716,Regression
TYPE_OF_MINE_Surface,0.002801818,Regression
PCT_HRS_AUGER,0.0026246891,Regression
PRIMARY_Iron Ore_1,0.0025405097,Regression
US_STATE_IN,0.0023551846,Regression
US_STATE_FL,0.0023038608,Regression
PRIMARY_Copper Ore_1,0.0021926665,Regression
PRIMARY_Gypsum_1,0.0020792896,Regression
US_STATE_WY,0.0020581705,Regression
US_STATE_ME,0.001998742,Regression
US_STATE_CA,0.0016934158,Regression
US_STATE_NM,0.0016860355,Regression
US_STATE_MD,0.0013687703,Regression
US_STATE_LA,0.0011971375,Regression
US_STATE_NE,0.0011789973,Regression
US_STATE_MT,0.0009049633,Regression
PRIMARY_Rare Earth_1,0.0,Regression
PRIMARY_Oil Shale_1,0.0,Regression
PRIMARY_Pigment material_1,0.0,Regression
PRIMARY_Perlite_1,0.0,Regression
PRIMARY_Pumice_1,0.0,Regression
PRIMARY_ceramic and factory_1,0.0,Regression
PRIMARY_mill_1,0.0,Regression
PRIMARY_Potash_1,0.0,Regression
PRIMARY_Platinum_1,0.0,Regression
PRIMARY_Phosphate rock_1,0.0,Regression
PRIMARY_Vanadium_1,0.0,Regression
PRIMARY_Salt_1,0.0,Regression
PRIMARY_fire_1,0.0,Regression
PRIMARY_Uranimum_1,0.0,Regression
PRIMARY_and Pyrophylite_1,0.0,Regression
PRIMARY_Slate_1,0.0,Regression
PRIMARY_Soapstone_1,0.0,Regression
PRIMARY_Soda_1,0.0,Regression
PRIMARY_Sodium compounds_1,0.0,Regression
PRIMARY_Talc_1,0.0,Regression
PRIMARY_Titanium_1,0.0,Regression
PRIMARY_Oil Sand_1,0.0,Regression
PRIMARY_Trona_1,0.0,Regression
PRIMARY_Tungsten_1,0.0,Regression
PRIMARY_and Borate minerals_1,0.0,Regression
PRIMARY_Vermiculite_1,0.0,Regression
PRIMARY_evaporated_1,0.0,Regression
HIGH_OFFICE_HRS,0.0,Regression
PRIMARY_Oil Mining_1,0.0,Regression
TYPE_OF_MINE_Sand & gravel,0.0,Regression
LARGE_OPERATION,0.0,Regression
HIGH_UNDERGROUND,0.0,Regression
AVG_EMP_TOTAL_SQ,0.0,Regression
LOG_AVG_EMP_TOTAL,0.0,Regression
PCT_HRS_SHOP_YARD,0.0,Regression
PCT_HRS_OTHER_SURFACE,0.0,Regression
PCT_HRS_CULM_BANK,0.0,Regression
US_STATE_VI,0.0,Regression
PRIMARY_Antimony_1,0.0,Regression
US_STATE_SC,0.0,Regression
US_STATE_RI,0.0,Regression
US_STATE_PR,0.0,Regression
US_STATE_NH,0.0,Regression
US_STATE_HI,0.0,Regression
US_STATE_DE,0.0,Regression
US_STATE_CT,0.0,Regression
PRIMARY_Aluminum Ore_1,0.0,Regression
PRIMARY_Aplite_1,0.0,Regression
PRIMARY_Nickel_1,0.0,Regression
PRIMARY_Gilsonite_1,0.0,Regression
PRIMARY_Molybdenum_1,0.0,Regression
PRIMARY_Mica_1,0.0,Regression
PRIMARY_Metal Ores_1,0.0,Regression
PRIMARY_Manganese_1,0.0,Regression
PRIMARY_Magnesite_1,0.0,Regression
PRIMARY_Leonardite_1,0.0,Regression
PRIMARY_Kyanite_1,0.0,Regression
PRIMARY_Gemstones_1,0.0,Regression
PRIMARY_Barite_1,0.0,Regression
PRIMARY_Fluorspar_1,0.0,Regression
PRIMARY_Feldspar_1,0.0,Regression
PRIMARY_Chromite_1,0.0,Regression
PRIMARY_Chemical and Fertilizer_1,0.0,Regression
PRIMARY_Brucite_1,0.0,Regression
PRIMARY_Boron materials_1,0.0,Regression
PRIMARY_Beryl_1,0.0,Regression
PRIMARY_rock_1,0.0,Regression
